Godot Engine v4.4.stable.official.4c311cbee - https://godotengine.org
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
OpenGL API 3.3.0 NVIDIA 560.94 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 59 (16.94 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
Project FPS: 60 (16.66 mspf)
